Jordan 3 Retro Fire Red (2007),72,59.2%,$222,136064-161,$125,2007-03-24,White/Fire Red-Cement Grey,$172 - $226
Jordan 23 Titanium,2,247.8%,$1036,318474-151,$230,2008-01-25,White/Titanium-University Blue,"$565 - $1,036"
Jordan 11 Retro Low IE Silver Zest,8,132.2%,$185,306008-072,$115,2007-06-30,Silver/Zest-White,$199 - $335
Jordan 12 Retro The Master,1730,52.1%,$346,130690-013,$190,2016-02-27,Black/Rattan-White-Metallic Gold,$222 - $356
Jordan 9 Retro Low Snakeskin,448,-20.6%,$161,832822-001,$170,2016-04-16,Black/Gym Red-White,$122 - $148
Jordan 13 Retro Chris Paul Home,109,47.5%,$379,807504-107,$200,2015-11-11,White/India Blue/Purple Campus,$253 - $337
Jordan 14 Retro Ferrari,534,45.0%,$369,654459-670,$200,2014-09-06,Challenge Red/Black-Vibrant Yellow,$240 - $340
Jordan 6 Retro Carmine CDP (2008),45,72.3%,$311,322719-161,$155,2008-05-24,White/Black-Carmine,$191 - $343
Jordan 6 Rings Bred,14,-25.0%,$192,322992-071,$160,2013-11-30,Black/Varsity Red-White,$55 - $185
Jordan 7 Retro Bordeaux 2015 (GS),22,7.1%,$163,304774-034,$140,2015-07-18,Black/Bordeaux-Light Graphite-Midnight Fog,$128 - $172
Jordan XXX1 Low Black Gold,8,-13.8%,$132,897564-023,$160,2017-07-28,Black/Black-Anthracite-Metallic Gold,$130 - $146
Jordan 10 Retro Ice Blue,33,84.0%,$294,310805-141,$125,2005-06-11,White/Obsidian/Ice Blue/Varsity Red,$183 - $277
Jordan 4 Retro Teal,428,-7.9%,$203,705331-330,$190,2015-03-14,Teal/White-Black-Retro,$139 - $211
Jordan 6 Retro Pistons,43,166.7%,$344,384664-001,$150,2010-04-17,Black/Varsity Red-True Blue-Light Graphite,$333 - $467
"Jordan 8 Retro Take Flight ""Undefeated"" (GS)",18,-0.7%,$112,305368-305,$140,2017-01-28,Sequoia/Black-Wolf Grey-Max Orange,$112 - $166
Jordan 1 Retro AJKO Rival Pack,8,--,$418,655328-900,Multi-Color/Multi-Color,--,$325 - $485
Jordan 9 Retro Bentley Ellis (Crawfish),44,103.1%,$345,302370-140,$160,2012-10-27,White/Dark Cayenne-University Gold,$280 - $370
Jordan 11 Retro Silver Anniversary (2010),92,120.0%,$452,408201-101,$150,2010-05-01,White/Metallic Silver,$257 - $403
Jordan 1 Retro BHM (2017),136,-10.0%,$165,908656-001,$150,2017-02-16,Black/Metallic Gold-Black,$93 - $177
Jordan 14 Retro Thunder,288,20.6%,$244,487471-070,$170,2014-07-04,Black/Vibrant Yellow-White,$177 - $233
Jordan 11 Retro Low University Blue (GS),92,-38.5%,$125,528896-106,$130,2017-04-15,White/University Blue,$65 - $95
Jordan 23 Chicago Bulls,14,24.3%,$256,318376-061,$185,2008-11-28,Black/Varsity Red-White,$158 - $302
Jordan 9 Retro French Blue (2002),7,180.0%,$324,302370-141,$125,2002-05-04,White/French Blue/Flint Grey,$325 - $375
Jordan 11 Retro Low Blue Moon (GS),30,23.1%,$128,580521-408,$130,2017-05-27,Blue Moon/Polarized Blue-Binary Blue,$123 - $197
Jordan Westbrook 0.2 Banned,4,-67.9%,$103,854563-001,$140,2016-11-14,Black/Gym Red-Black,-- - $93
Jordan Spiz'ike Easter,5,-51.4%,$146,315371-056,$175,2013-03-30,Stealth/Poison Green-University Blue-Blitz Blue-Vivid Sulpher,$11 - $159
Jordan 2011 Team Red White,3,-55.9%,$101,436771-602,$170,2011-04-19,Team Red/Team Red-White,$41 - $109
Jordan 3 Retro Mocha,5,445.0%,$469,136064-121,$100,2001-09-15,White/Dark Mocha,$486 - $604
Jordan 1 Retro Reverse Shattered Backboard,1739,90.6%,$316,555088-113,$160,2016-10-08,Sail/Starfish-Black,$261 - $349
Jordan 3 Retro White Cement ('88 Dunk Contest 2013),246,130.0%,$559,580775-160,$200,2013-02-06,White/Fire Red-Cement Grey-Black,$394 - $526
Jordan 1 Retro Do The Right Thing Red,9,36.4%,$161,332550-161,$110,2009-07-04,White/Varsity Red,$133 - $167
Jordan 12 Retro Nylon,1394,14.2%,$268,130690-004,$190,2016-09-10,Black/Gym Red-White,$178 - $256
Jordan Spiz'ike New York Knicks,13,--,$252,315371-805,Orange,Flash/Blue,Ribbon-Black-White,--,$234 - $300
Jordan 1 Retro Red Suede,489,6.4%,$145,332550-603,$140,2017-04-15,Gym Red/Gym Red,$132 - $166
Jordan 7 Retro Doernbecher,524,50.0%,$439,898651-015,$190,2016-12-17,Black/University Red,$257 - $313
Jordan 5 Retro Low Dunk From Above,268,-20.0%,$160,819171-135,$175,2016-02-20,White / Metallic Gold Star - Midnight Navy,$109 - $171
Jordan 1 Retro Ultra High Space Jam,99,-38.0%,$96,844700-002,$150,2016-12-03,Black/Concord-Black-White,$85 - $101
Jordan 7 Retro Tinker Alternate,1117,-32.1%,$184,304775-123,$190,2016-08-06,White/Metallic Gold Coin-Deep Royal Blue-Fire Red-Lite Iron Ore,$100 - $158
Jordan 16 OG Low Black / Chrome,7,48.1%,$200,136069-001,$135,2001-09-29,Black/Black-Metallic Silver,$180 - $220
